Model,Year,Sales_Volume
X3,2018,8383
M5,2020,7835
X1,2012,8344
X3,2011,8466
5 Series,2016,4604
5 Series,2014,3633
7 Series,2014,6202
i3,2019,8851
X5,2014,4695
M5,2013,3323
i3,2022,1884
7 Series,2014,2192
M3,2022,1225
3 Series,2013,3901
3 Series,2024,7819
M3,2022,9633
X6,2015,895
i8,2013,3508
i8,2011,3479
5 Series,2018,711
M5,2011,6445
X1,2018,1597
i3,2019,9459
3 Series,2015,9993
i3,2018,938
i3,2018,9733
M3,2012,1131
X3,2010,7274
3 Series,2010,6934
X1,2012,1958
X3,2014,8335
X3,2022,6792
5 Series,2012,2962
X6,2021,1400
i3,2018,7792
X3,2018,659
X6,2012,2241
i3,2012,3419
X5,2021,667
X1,2023,6099
X1,2014,4123
X5,2011,8008
3 Series,2015,7059
3 Series,2016,2972
i8,2022,6798
i8,2018,1771
X5,2024,7223
7 Series,2015,6785
X5,2012,4636
5 Series,2021,844
7 Series,2014,1193
X1,2013,4868
X5,2024,2863
X3,2014,3575
X6,2017,7240
i3,2017,7757
X1,2015,1141
X3,2010,1914
7 Series,2017,1432
i3,2017,1907
M3,2011,844
M5,2013,7706
M3,2021,4819
M5,2011,648
3 Series,2013,9114
i8,2021,2975
M5,2022,1456
X5,2022,9858
X5,2019,4359
3 Series,2016,7484
X6,2018,1299
5 Series,2023,5885
i3,2023,7700
X3,2017,9736
3 Series,2024,3958
M5,2021,8378
X1,2018,5438
5 Series,2017,3665
X1,2011,5898
3 Series,2016,7385
M5,2011,7314
i3,2022,3052
X5,2021,2549
5 Series,2020,4284
X5,2011,2229
i8,2024,9589
3 Series,2013,6575
7 Series,2010,3984
i8,2024,2141
M5,2014,3927
M5,2015,1664
X3,2018,2390
X1,2019,6946
7 Series,2017,5583
i3,2011,2337
3 Series,2010,7975
X5,2011,6285
M5,2016,5038
M5,2013,304
5 Series,2019,9166
M5,2014,4515
X1,2021,6561
M3,2016,3838
M5,2012,2001
i3,2019,1818
7 Series,2011,3922
X1,2022,672
M3,2016,5283
X5,2014,2378
X6,2023,4684
5 Series,2024,4720
7 Series,2010,7961
X5,2010,6995
X5,2018,9174
i8,2014,4127
3 Series,2010,197
X5,2016,1287
M3,2018,6538
i8,2020,1050
M3,2010,2384
M3,2019,697
5 Series,2023,2730
X6,2022,9946
X1,2013,7528
X6,2023,9416
3 Series,2012,887
X1,2014,2487
5 Series,2016,2528
3 Series,2017,2138
M3,2022,2576
X5,2011,867
M3,2016,9301
M3,2023,6543
M5,2023,8806
i8,2010,9541
X3,2016,375
M5,2017,7117
M5,2011,517
7 Series,2018,1263
5 Series,2010,639
X5,2022,9176
X1,2015,2561
M3,2010,332
M3,2012,7511
5 Series,2020,5105
5 Series,2015,3804
3 Series,2012,1802
i3,2017,9608
5 Series,2014,8365
i8,2011,9719
X1,2013,3820
7 Series,2018,6954
M3,2013,774
M5,2019,2724
M5,2019,9737
i8,2017,8768
i3,2014,9081
M3,2020,3883
M5,2020,2951
3 Series,2019,7815
3 Series,2022,8935
X6,2022,7710
M5,2023,8521
i8,2024,3554
X6,2010,490
5 Series,2016,8620
i8,2012,3661
i3,2019,8634
M5,2017,9445
i3,2023,4368
X1,2021,7134
X3,2012,5436
M5,2010,5131
5 Series,2014,3035
X3,2011,5456
M5,2020,9935
M3,2013,2267
i3,2010,8797
M3,2018,8023
i3,2015,8851
X6,2017,2140
3 Series,2020,865
i8,2013,8976
i8,2018,6487
X1,2011,8472
M3,2018,1309
X6,2021,1308
X1,2014,2475
i3,2022,7335
X1,2015,3900
7 Series,2012,8126
X1,2013,6034
X3,2015,7567
X5,2016,5880
X1,2010,4734
i3,2016,5781
X5,2010,8526
i3,2014,8562
M3,2015,6468
5 Series,2022,5141
X3,2011,2649
5 Series,2024,9043
M3,2024,5976
i3,2022,4754
7 Series,2019,6015
M3,2018,8541
X1,2023,5625
i8,2019,248
M5,2015,7631
X1,2016,1863
3 Series,2023,6704
7 Series,2024,8543
3 Series,2019,4030
3 Series,2024,3211
M5,2017,9505
5 Series,2020,3643
X3,2024,7121
i3,2022,1622
X6,2019,2183
X5,2010,7181
X3,2023,5829
X3,2017,5874
M3,2013,2167
7 Series,2019,2418
X1,2017,4809
X6,2022,5406
i3,2024,150
M5,2015,7911
7 Series,2020,6812
i8,2018,7127
7 Series,2020,287
3 Series,2013,7972
X6,2011,8714
X1,2023,5055
M5,2011,7113
i8,2014,4704
7 Series,2019,8165
X5,2018,6773
7 Series,2021,2342
X1,2012,8148
X3,2017,5723
M5,2013,2194
X6,2015,5838
X3,2019,5804
X1,2015,2304
i3,2012,6204
7 Series,2023,4353
M3,2014,8336
X3,2021,9630
M3,2012,8366
X6,2020,3349
7 Series,2024,9758
X1,2020,7452
3 Series,2024,4290
7 Series,2010,2022
X3,2016,9515
X5,2013,5496
3 Series,2023,4077
i3,2016,7152
X6,2012,1605
X1,2021,6294
5 Series,2024,9925
7 Series,2024,9224
5 Series,2020,7923
i8,2014,5120
7 Series,2014,9901
X5,2024,5034
X1,2022,1081
7 Series,2011,7764
X1,2020,5300
X1,2019,7252
i8,2021,2896
M5,2011,3249
X5,2013,201
X1,2024,9199
i3,2013,1374
M5,2013,7217
X1,2015,1911
M5,2011,6811
X5,2015,7756
X3,2016,5697
3 Series,2020,8417
7 Series,2019,9863
X5,2012,8985
X6,2020,1853
X5,2021,3048
X3,2017,7827
M5,2011,3860
3 Series,2020,8947
7 Series,2017,7101
5 Series,2022,2599
5 Series,2020,4797
X5,2014,5715
X6,2011,8633
X1,2016,164
M5,2023,6016
X6,2011,9156
i3,2023,4696
M3,2015,400
X5,2019,8675
X1,2012,7449
X6,2018,3876
X5,2012,433
i8,2020,661
M3,2024,8320
X3,2021,6898
5 Series,2021,3885
M3,2012,5633
X1,2014,9684
i3,2016,1145
X3,2023,6251
3 Series,2017,7431
i3,2021,4592
X1,2020,2874
X5,2016,1417
X1,2018,7521
M5,2014,3595
i3,2019,9294
M3,2020,1398
M3,2024,3240
3 Series,2012,7718
M3,2015,4736
X5,2014,8557
X6,2021,8596
X3,2013,6187
X6,2021,5194
X1,2011,5594
X3,2016,5731
M5,2022,2439
5 Series,2014,7676
X5,2013,2037
X5,2021,1702
X5,2023,2185
5 Series,2017,8462
M5,2018,5352
M3,2018,3083
X6,2012,8822
5 Series,2012,9789
3 Series,2014,5733
3 Series,2014,4246
M3,2019,8035
M3,2011,3665
i3,2010,9604
7 Series,2017,3379
M5,2012,566
i8,2010,7784
X3,2010,5319
7 Series,2020,9653
M5,2024,3939
X1,2011,2916
5 Series,2015,5868
i3,2015,495
X1,2023,1117
X5,2012,8666
3 Series,2021,2079
5 Series,2013,5551
5 Series,2021,3447
X6,2022,5575
M3,2011,2174
7 Series,2011,3694
i8,2024,9837
i8,2016,5225
X1,2022,9256
3 Series,2010,6101
X3,2016,5669
i8,2023,6628
M5,2021,2669
X1,2023,8697
5 Series,2021,4419
M3,2023,3935
X1,2010,2342
3 Series,2023,1731
i8,2015,4742
5 Series,2012,6833
M3,2017,5187
X1,2015,7991
X6,2020,379
i3,2011,5529
X6,2017,6998
X6,2014,6079
M3,2017,9318
X5,2017,2828
M5,2015,6368
5 Series,2011,8447
X1,2017,2266
X3,2024,1961
7 Series,2024,5345
i8,2020,2682
3 Series,2015,7314
M5,2015,7741
X3,2017,289
i8,2010,9125
3 Series,2011,3129
7 Series,2021,6103
i8,2021,4328
X1,2018,4536
X1,2020,5413
5 Series,2021,4978
X3,2017,1585
M5,2021,7293
M3,2016,619
M3,2016,9633
5 Series,2014,6643
7 Series,2011,2761
7 Series,2020,1785
7 Series,2015,6932
X1,2019,9371
i8,2012,1343
3 Series,2013,9849
i8,2022,6168
X6,2019,8189
M3,2021,1452
i3,2020,9775
X6,2011,688
3 Series,2023,3125
X6,2011,2246
X5,2021,9637
7 Series,2017,3174
7 Series,2017,9309
X1,2019,5961
X1,2015,8080
5 Series,2022,5418
5 Series,2014,3207
X5,2017,2941
M5,2013,1337
5 Series,2020,9310
X1,2013,181
M5,2014,9735
M5,2010,8765
X1,2010,8219
X5,2011,3618
i3,2023,3178
X6,2017,5468
X1,2016,2205
3 Series,2024,8278
X1,2024,9597
X1,2019,3436
i3,2018,1286
i3,2014,9232
i8,2011,2447
5 Series,2016,3181
3 Series,2024,795
X6,2017,2735
5 Series,2021,7113
M3,2016,4938
M5,2023,5929
i3,2016,4819
X3,2021,9158
M3,2024,9929
M3,2023,8986
M5,2014,1517
X3,2011,6678
X6,2015,5338
X5,2013,3518
i3,2019,7029
5 Series,2011,9935
5 Series,2021,3944
7 Series,2018,2650
X1,2016,1300
X1,2015,3072
i3,2021,7411
X1,2014,1423
3 Series,2012,7501
M5,2021,2986
X5,2024,7829
M5,2024,1720
X1,2019,4822
X3,2019,1045
i3,2013,2910
i8,2012,614
5 Series,2021,6167
X6,2020,4683
i8,2017,9822
i3,2012,6351
X6,2016,2565
i3,2016,957
5 Series,2016,2426
X3,2022,9291
X1,2016,9580
i3,2023,125
7 Series,2011,3602
5 Series,2019,9294
i3,2012,7098
i3,2019,7554
M5,2018,855
i3,2012,9331
7 Series,2011,7965
M3,2018,2052
X1,2022,6593
X5,2019,2163
M3,2018,3705
7 Series,2013,9023
3 Series,2023,3003
X3,2021,9989
X6,2018,530
X3,2012,6738
3 Series,2016,5290
3 Series,2016,5431
5 Series,2024,5167
7 Series,2020,869
i8,2017,4827
5 Series,2019,368
X3,2024,7023
X3,2013,5577
5 Series,2012,4523
7 Series,2012,4961
5 Series,2024,6356
i8,2021,2725
7 Series,2014,9656
X6,2020,7472
3 Series,2024,5481
X3,2023,3833
5 Series,2010,7004
M5,2019,2680
X1,2012,2419
7 Series,2023,8558
i3,2015,9117
X1,2012,6504
X1,2014,5815
M3,2018,2618
3 Series,2011,5889
X3,2020,2969
i3,2011,5284
M3,2021,5245
i8,2015,4214
3 Series,2015,3724
3 Series,2020,7942
7 Series,2020,5287
X1,2017,7898
M5,2021,9610
M5,2022,4695
M3,2020,5106
M5,2023,6319
7 Series,2011,6572
M3,2018,5943
X1,2024,2122
7 Series,2011,9213
M3,2022,8561
M5,2010,4942
X5,2019,5970
X1,2011,5547
7 Series,2021,7177
X1,2016,972
X6,2017,5533
X6,2014,7495
M3,2015,8317
i3,2021,9657
X3,2010,6690
i3,2024,3522
5 Series,2015,9806
M5,2021,1117
i8,2024,8502
7 Series,2017,3928
X6,2022,7550
X1,2012,7220
M3,2020,4783
M5,2010,480
X1,2020,2273
M3,2013,6595
3 Series,2010,2695
7 Series,2023,7859
X6,2017,3245
X6,2014,5777
3 Series,2010,8077
X6,2023,3529
7 Series,2017,2375
X3,2018,9257
M5,2019,7481
5 Series,2011,7787
7 Series,2018,138
M3,2017,4527
3 Series,2016,9903
i3,2012,9654
M3,2011,3504
X3,2016,8638
X3,2024,6526
M5,2014,6445
5 Series,2015,3425
X6,2013,9600
i8,2011,1763
i3,2018,8066
M3,2012,9363
X3,2021,9523
X1,2023,7023
M5,2016,8993
5 Series,2023,9052
M5,2017,5025
X6,2011,3757
i8,2023,7069
X5,2015,2997
X5,2020,9264
X6,2017,9133
i8,2016,4279
X5,2020,8244
X1,2012,1356
i3,2010,2497
X3,2023,6002
X5,2015,7029
5 Series,2017,8606
X3,2015,8596
X3,2014,4554
3 Series,2020,9689
7 Series,2021,4338
5 Series,2017,8864
X1,2011,7741
7 Series,2024,3320
M3,2021,2539
7 Series,2024,7436
i3,2010,8447
7 Series,2010,4544
X3,2024,2806
M5,2023,951
X6,2013,6113
X5,2015,6957
M5,2022,9514
i3,2018,2242
X1,2010,8072
X5,2021,2682
X5,2010,293
X1,2022,5409
i8,2022,561
5 Series,2014,2712
X3,2019,3282
X1,2014,465
7 Series,2014,9927
X5,2019,2418
M3,2015,5829
7 Series,2017,6873
X1,2012,5092
7 Series,2018,4736
7 Series,2022,9058
M3,2010,1166
5 Series,2013,7222
M5,2018,515
7 Series,2024,2972
i3,2023,7516
7 Series,2017,4486
i3,2019,1802
M5,2018,8464
M5,2010,9226
X5,2018,1672
i3,2012,2122
X1,2020,7002
X1,2021,5996
3 Series,2019,3547
5 Series,2018,4757
X1,2010,660
7 Series,2010,9799
X6,2018,2367
M3,2020,3557
i3,2023,3707
5 Series,2015,7845
M3,2013,4459
X1,2016,7718
M5,2014,9297
5 Series,2019,742
7 Series,2023,4877
3 Series,2016,6025
M3,2017,4421
5 Series,2017,7392
5 Series,2010,4573
7 Series,2017,3569
5 Series,2015,9878
X1,2013,684
X6,2022,4086
X1,2023,6366
X1,2021,8226
M5,2017,1546
7 Series,2012,2817
X5,2022,8460
X3,2013,1914
i3,2024,8919
M5,2015,1776
X1,2020,7969
X1,2016,5326
M3,2013,348
M3,2013,9581
3 Series,2016,6362
X3,2015,5541
M3,2022,9563
X5,2020,9166
M3,2017,9998
X6,2010,9130
3 Series,2019,5180
i3,2022,4566
M3,2020,6287
X1,2016,7756
5 Series,2021,3872
X3,2016,411
X3,2020,6596
X3,2016,1227
M3,2016,9660
X3,2019,4073
i8,2023,1989
X1,2019,4500
X1,2017,2889
X1,2018,5611
M3,2018,7752
X3,2011,2054
X6,2022,5677
M5,2022,9969
i3,2016,8360
7 Series,2016,1281
i8,2013,6144
i8,2018,4112
X5,2017,5784
X1,2021,3008
X6,2010,7389
i3,2011,7473
X5,2022,4303
5 Series,2024,2225
7 Series,2022,4562
3 Series,2011,4300
M5,2021,907
X5,2021,3454
i8,2020,2815
5 Series,2024,7266
3 Series,2024,1137
3 Series,2017,4511
3 Series,2024,8172
M3,2010,8586
M5,2013,488
3 Series,2019,6315
3 Series,2021,9369
M5,2014,3382
i8,2018,200
5 Series,2016,1810
M3,2017,9244
M5,2023,9118
X5,2020,9834
5 Series,2018,3118
X1,2022,7815
M3,2016,2714
X5,2014,7105
M5,2022,2491
i8,2024,4717
M5,2014,268
X3,2019,3340
X5,2020,3707
5 Series,2015,2620
i3,2014,1508
X5,2022,4664
X5,2021,4840
i8,2020,7788
i8,2018,5603
i8,2012,9144
X1,2012,7063
3 Series,2024,3168
M5,2016,7908
i3,2016,8332
M5,2015,7269
7 Series,2012,4652
X1,2023,4365
i8,2022,1605
X5,2016,9513
i8,2014,9460
3 Series,2016,6617
i3,2011,4666
M3,2015,3892
X3,2023,3827
i3,2017,9666
3 Series,2010,9014
3 Series,2013,7989
M5,2020,261
X1,2010,7625
M3,2023,1035
i8,2010,5852
i3,2019,1741
i3,2021,6329
X5,2023,8766
7 Series,2023,847
X3,2020,9840
X5,2017,8942
5 Series,2016,6014
i8,2021,2585
X3,2019,8146
i3,2022,952
X5,2010,5186
M5,2020,3522
5 Series,2023,5364
3 Series,2022,9854
X6,2011,8618
i3,2013,2051
7 Series,2010,8082
M5,2012,7529
i3,2017,196
X1,2017,8717
5 Series,2017,2247
i8,2015,1049
X6,2015,729
3 Series,2014,9508
X6,2022,3619
X3,2018,2911
5 Series,2013,9600
X5,2019,8195
X1,2024,4109
5 Series,2021,177
X1,2021,2909
i8,2021,6393
5 Series,2016,643
M5,2010,3447
X6,2024,3404
M3,2018,1879
7 Series,2016,1242
i3,2019,4826
3 Series,2021,725
7 Series,2018,561
X1,2016,3568
7 Series,2011,7878
5 Series,2024,6665
i8,2015,8364
5 Series,2019,8537
M5,2021,1433
3 Series,2020,8542
i3,2013,1989
X5,2012,5540
7 Series,2011,7666
i3,2015,6410
X1,2017,3621
i3,2015,8605
i8,2018,7395
3 Series,2023,1544
M5,2014,3359
X5,2011,6356
X5,2017,6032
i8,2018,188
7 Series,2023,9770
X1,2019,6276
7 Series,2013,332
M3,2015,4729
M3,2024,3026
X6,2020,3447
X6,2019,8848
i8,2017,1266
X3,2018,8591
i3,2021,8753
M5,2014,9177
5 Series,2021,6172
i3,2015,5540
M3,2020,8545
i8,2013,2856
X1,2014,7940
X6,2016,3601
X6,2018,7075
5 Series,2019,4542
i3,2020,4925
i3,2022,8121
5 Series,2015,9173
5 Series,2023,9261
X3,2015,3430
X1,2017,7063
X1,2020,7090
7 Series,2013,6462
7 Series,2012,1874
5 Series,2023,9329
5 Series,2016,6111
X1,2014,3414
5 Series,2011,6927
M5,2011,8084
i8,2020,1225
3 Series,2015,8278
5 Series,2017,8103
7 Series,2010,4638
X1,2024,9860
M5,2020,8669
X5,2015,1918
X3,2021,2254
i3,2011,8137
X6,2011,3422
X5,2016,1421
X3,2019,942
X6,2010,528
M3,2015,4864
X3,2023,5604
3 Series,2016,4279
X3,2023,9465
5 Series,2017,1766
5 Series,2016,9758
5 Series,2015,9625
3 Series,2018,6184
i8,2022,2775
7 Series,2012,6723
7 Series,2020,6922
3 Series,2015,1515
X6,2013,1507
X1,2011,9974
X3,2010,2120
i3,2021,7300
M5,2021,2633
i3,2023,6492
3 Series,2010,5518
3 Series,2020,1554
X5,2019,7274
X6,2012,3494
i3,2013,3501
X1,2011,6732
i3,2022,9283
M5,2021,8155
3 Series,2020,1538
i3,2020,4754
X5,2023,439
3 Series,2020,9349
M5,2010,6738
i3,2013,1391
X6,2024,4702
7 Series,2016,1733
5 Series,2019,4320
X6,2020,7548
X6,2015,6886
i8,2015,7179
M5,2020,5925
M3,2018,7350
3 Series,2023,768
M3,2024,6476
X3,2011,4271
X3,2013,3775
X3,2014,7982
5 Series,2010,1748
M3,2017,3397
M3,2017,5391
5 Series,2015,5735
X1,2021,9921
X3,2014,2261
X1,2017,1233
3 Series,2012,5741
X3,2012,8595
7 Series,2011,6249
3 Series,2014,1729
X1,2012,7374
X3,2012,1333
X6,2024,1698
M5,2015,3737
7 Series,2017,5432
3 Series,2011,6827
X1,2013,2480
M3,2020,6325
X5,2016,4749
5 Series,2010,5428
3 Series,2010,1517
3 Series,2021,5900
X3,2022,8016
X6,2019,9536
i3,2016,5358
X5,2023,366
X5,2016,8562
7 Series,2010,2666
X3,2010,6465
7 Series,2013,3418
X6,2014,2598
5 Series,2014,1225
X5,2013,5727
i8,2017,1537
5 Series,2016,9353
3 Series,2018,9006
i3,2016,8011
X6,2024,1579
X6,2019,386
X5,2010,5547
X6,2022,6750
X5,2023,395
X1,2016,6819
X1,2010,2141
i8,2016,3655
X1,2019,4781
X6,2017,7339
7 Series,2020,1140
7 Series,2018,5560
5 Series,2021,2816
5 Series,2012,6261
i3,2024,8267
M5,2013,112
X6,2013,9479
i8,2021,651
5 Series,2018,8176
X5,2022,135
X3,2016,3191
i3,2012,6886
X3,2019,8268
X6,2014,1650
X3,2016,6418
X1,2017,7771
5 Series,2010,7285
M5,2021,2747
3 Series,2011,856
3 Series,2016,9019
i3,2020,8692
i3,2024,2736
X5,2022,1635
X1,2023,7045
7 Series,2022,7740
M3,2024,1670
M5,2011,408
M5,2016,5365
X1,2024,9666
M3,2018,7750
X5,2020,2748
X3,2011,882
M5,2016,6665
5 Series,2013,7934
5 Series,2020,1371
5 Series,2022,7593
X1,2011,6649
i8,2022,8892
X6,2016,482
X1,2022,8467
5 Series,2014,3679
7 Series,2010,7088
5 Series,2014,5827
i3,2021,9236
i8,2021,6164
X6,2012,4968
M3,2016,8926
7 Series,2015,1874
i3,2017,8439
M3,2022,9904
3 Series,2014,9901
5 Series,2011,8219
i3,2018,1140
3 Series,2023,5331
M3,2020,1555
X6,2017,7352
M3,2015,4630
M5,2022,2502
X3,2019,5624
3 Series,2016,2184
X3,2018,3255
X3,2016,282
i8,2012,4590
M3,2015,789
M3,2020,6238
7 Series,2022,8361
X6,2020,5468
M3,2016,4981
X5,2011,1281
X6,2012,7924
M3,2013,4553
i3,2019,873
X1,2015,9303
5 Series,2010,871
i8,2018,1900
5 Series,2014,6607
i8,2022,4447
i3,2021,8613
i3,2023,269
7 Series,2016,8527
X5,2018,4863
X5,2018,5684
M5,2010,9771
7 Series,2024,1983
X3,2010,8513
M3,2012,3372
X6,2015,8564
i3,2011,6019
X6,2019,2437
5 Series,2021,3248
M3,2020,1654
X1,2010,6024
X1,2010,8103
X5,2022,9174
5 Series,2014,3740
M3,2013,1324
7 Series,2010,1063
X6,2013,5334
i8,2012,793
i3,2011,373
M3,2018,3201
X3,2023,172
i3,2024,9090
3 Series,2020,1915
X5,2010,4780
5 Series,2016,2287
3 Series,2023,1067
X3,2022,289
i8,2013,3855
X6,2014,1849
i8,2019,4206
X6,2014,4435
i3,2010,456
5 Series,2015,2006
i3,2022,4880
X5,2018,656
7 Series,2011,6404
i8,2016,7439
X6,2015,7436
X5,2014,2616
7 Series,2013,6376
i3,2013,8693
M3,2015,4920
i8,2013,2964
X5,2014,9990
X5,2022,4220
M3,2015,5754
X1,2014,9515
3 Series,2016,5703
X6,2018,124
X1,2019,104
i3,2016,3908
X6,2016,786
X1,2013,8649
i8,2010,1988
5 Series,2023,3329
i3,2017,9712
5 Series,2013,6960
X6,2010,3817
M5,2014,9210
X1,2023,2112
i8,2023,8783
M5,2017,4083
i8,2013,853
X5,2022,1876
M5,2021,1607
7 Series,2017,7376
3 Series,2017,3088
X5,2012,2001
X1,2018,8847
X3,2012,3209
i3,2010,825
7 Series,2011,9711
3 Series,2024,4796
X3,2015,1484
3 Series,2021,4623
X5,2019,732
i8,2011,7233
3 Series,2015,1104
3 Series,2023,5489
X5,2010,1294
3 Series,2020,6088
i3,2022,406
M5,2010,927
X6,2014,9924
7 Series,2019,5849
7 Series,2022,2033
M3,2020,1625
3 Series,2018,3871
5 Series,2023,6975
M5,2017,7811
X6,2012,6456
X1,2024,3450
X1,2012,6691
X6,2024,9607
X1,2010,7823
X6,2023,9139
M5,2012,1405
X5,2024,7917
7 Series,2023,2644
7 Series,2021,2211
M3,2021,1294
M5,2021,3775
X3,2022,8607
3 Series,2020,5125
M3,2010,2121
M3,2017,1949
i8,2010,7050
X3,2014,8826
i3,2018,3353
M5,2016,5543
7 Series,2013,562
X5,2020,7182
X6,2018,6530
M3,2018,9651
i8,2011,2677
i8,2019,4245
i8,2019,6949
7 Series,2020,5892
3 Series,2021,9113
X3,2015,6083
i3,2013,2235
7 Series,2017,3617
X1,2021,4203
X6,2020,6941
X1,2016,6777
7 Series,2016,6567
X6,2020,1709
X5,2019,3961
X3,2018,7633
7 Series,2022,8353
3 Series,2014,3664
i3,2015,1419
M3,2010,5106
X5,2015,2574
X5,2011,5773
X3,2015,156
i3,2018,3224
X1,2017,3114
X6,2018,9271
M5,2022,3050
M3,2024,5544
5 Series,2019,2672
i8,2017,9456
M5,2012,9726
X3,2017,6904
X1,2015,4689
M5,2022,6351
X5,2015,9470
7 Series,2015,6483
3 Series,2012,572
X6,2019,3456
X1,2010,4531
X6,2021,2514
3 Series,2023,9801
7 Series,2013,5350
3 Series,2019,614
M3,2021,4946
M3,2015,8692
i8,2020,2745
3 Series,2021,9689
X5,2019,5161
3 Series,2011,5200
3 Series,2016,7857
X6,2016,3974
7 Series,2020,4655
3 Series,2013,1034
X6,2013,7365
X1,2024,4178
i3,2010,3249
M5,2022,4674
5 Series,2011,4224
7 Series,2018,2917
5 Series,2019,2699
3 Series,2017,1310
M3,2017,4793
M3,2018,1404
X1,2024,9948
X3,2016,4575
7 Series,2022,520
i3,2018,9875
X3,2019,1874
3 Series,2021,9009
i8,2011,4727
3 Series,2015,3957
5 Series,2024,5277
7 Series,2012,7883
7 Series,2020,2793
X1,2024,1205
X3,2015,7783
7 Series,2012,5764
X1,2017,7784
M5,2024,8063
3 Series,2020,3167
i8,2024,4222
X1,2022,1345
5 Series,2013,9010
7 Series,2021,8987
X1,2019,2475
i8,2015,9145
i8,2024,9189
M5,2018,9028
X3,2011,5709
M5,2011,5236
X3,2016,5352
3 Series,2024,5199
X1,2011,6187
X6,2011,621
i3,2013,1881
5 Series,2018,3349
M3,2017,1853
X5,2011,5016
M3,2017,8832
X6,2013,2227
5 Series,2011,2717
i3,2020,9323
5 Series,2019,8408
X6,2016,7982
X1,2015,9417
7 Series,2023,8943
M3,2019,8225
i8,2014,3970
5 Series,2020,2175
M3,2010,2645
M5,2011,1874
i8,2017,6835
M3,2010,1781
M5,2012,6034
X1,2011,5562
X1,2014,8241
X5,2013,5554
i3,2022,9045
X3,2016,3950
3 Series,2014,2772
M3,2017,9679
i3,2013,3907
X5,2024,8207
5 Series,2021,1200
M5,2015,9523
X5,2013,778
7 Series,2011,6540
i3,2010,1682
3 Series,2023,5372
X1,2023,3449
7 Series,2010,8090
7 Series,2017,3653
M5,2023,3473
M5,2013,7170
7 Series,2014,2554
5 Series,2020,9700
X1,2017,1002
X5,2021,2843
X6,2024,8548
3 Series,2016,2685
5 Series,2022,8552
5 Series,2017,5901
3 Series,2022,6148
i8,2017,4470
7 Series,2015,454
X6,2019,4669
X3,2011,351
M3,2015,2358
5 Series,2023,1319
5 Series,2010,2749
3 Series,2010,1385
X6,2020,8491
5 Series,2012,808
X6,2012,5790
7 Series,2020,2979
X5,2022,8742
3 Series,2014,5097
3 Series,2010,8971
i8,2019,9028
X6,2015,2633
X1,2016,9171
X3,2019,2698
X6,2021,4693
X1,2022,4994
X5,2020,2510
X1,2012,9213
X3,2013,3808
5 Series,2019,4113
X3,2020,9499
i3,2019,3952
X1,2023,1742
X1,2021,8169
3 Series,2024,9749
X1,2019,8775
M3,2023,3319
X6,2019,7786
7 Series,2019,7545
M5,2012,1386
5 Series,2010,2254
M5,2017,6641
X6,2022,1740
5 Series,2019,4762
i3,2019,312
3 Series,2011,6664
X5,2010,8835
3 Series,2023,298
X5,2017,8223
5 Series,2016,1011
5 Series,2016,1242
X3,2013,9088
M3,2020,633
3 Series,2018,5489
X3,2015,2418
i3,2011,7869
7 Series,2023,5790
5 Series,2010,9839
X1,2010,4378
5 Series,2018,846
M5,2013,8629
X5,2014,8715
3 Series,2012,9727
5 Series,2013,2599
i8,2021,9297
X5,2017,3077
X6,2022,9701
X1,2013,4197
X1,2018,7688
M5,2018,8963
7 Series,2015,9976
5 Series,2011,4554
i8,2021,1489
M3,2019,5304
i8,2020,9390
X6,2016,1815
X3,2018,5319
M5,2015,7436
X6,2012,4908
7 Series,2023,5605
X1,2024,4294
X6,2016,7285
X5,2014,5989
i3,2010,4721
M3,2012,6132
7 Series,2014,6016
7 Series,2016,2003
X6,2012,6242
X5,2015,9216
M3,2014,8899
7 Series,2022,814
3 Series,2010,1363
X6,2019,2822
i3,2015,5127
X3,2023,4756
M3,2017,6120
X3,2022,9677
M3,2022,8772
5 Series,2010,7274
i3,2011,8269
X5,2023,4767
5 Series,2024,6994
3 Series,2013,5506
i3,2021,856
X5,2011,8569
M5,2020,4656
X5,2018,4513
M3,2019,1961
M5,2017,5517
7 Series,2017,4121
X5,2013,8917
7 Series,2014,8998
i8,2013,6783
3 Series,2022,2378
M5,2018,4834
M3,2022,8668
X6,2011,7174
5 Series,2022,9261
5 Series,2020,4604
i8,2017,9076
i8,2011,6271
X6,2010,7090
i8,2019,5070
7 Series,2012,7695
X1,2018,8894
3 Series,2021,6803
i8,2012,1478
M5,2018,3807
X6,2016,8823
7 Series,2022,5671
7 Series,2019,147
3 Series,2010,4785
i3,2019,6620
X1,2014,6111
X6,2018,4113
3 Series,2021,3798
i8,2024,7280
X3,2024,1548
X1,2012,2514
M3,2018,4873
M3,2014,2478
X6,2018,4019
5 Series,2019,639
3 Series,2015,9144
M3,2018,492
M3,2016,4445
X3,2016,6909
7 Series,2017,2675
3 Series,2016,478
X3,2021,319
3 Series,2018,974
M3,2020,2451
i8,2018,2178
X1,2015,742
3 Series,2016,371
3 Series,2011,123
X1,2024,9900
M3,2018,9394
7 Series,2021,7401
M3,2022,1999
i3,2010,6088
i3,2010,3938
X5,2012,5061
M5,2021,3237
i8,2015,7784
i8,2014,716
X1,2024,478
7 Series,2011,4163
5 Series,2018,5262
X1,2023,1411
X3,2022,9832
X6,2019,122
M5,2023,6209
M3,2013,8132
X3,2013,4635
M5,2014,2970
